geneko	mediaws	media	addtlCpd	growth
fig|208964.1.peg.1173	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1174	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1175	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1176	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1177	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1178	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1179	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.118	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1180	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1181	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1182	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1183	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1184	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1185	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1186	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1187	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1188	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1189	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.119	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1190	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1191	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1192	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1193	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1194	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1195	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1196	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1197	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1198	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1199	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.12	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.120	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1200	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1201	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1202	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1203	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1204	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1205	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1206	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1207	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1208	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1209	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.121	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1211	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1212	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1213	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1214	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1215	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1216	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1217	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1218	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1219	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.122	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1220	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1221	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1222	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1223	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1224	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1225	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1226	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1227	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1228	KBaseMedia	ArgonneLBMedia		1
